protein,evidence_sentence,triage_prediction,triage_confidence,human_label
P00797,"Clinical evidence has shown that pharmacological therapies that are effective for HFrEF may not provide the same anti-remodeling benefits in HFpEF patients, particularly compared to traditional adrenergic and renin-angiotensin-aldosterone system inhibitors.",negative,0.8816282153129578,
Q9NSA1,INTRODUCTION: Previous studies have shown that fibroblast growth factor 21 (FGF21) is involved in the ventricular remodeling process in heart failure with preserved ejection fraction (HFpEF).,no_association,0.8826983571052551,
P05362,"A common genetic variant of ICAM1 among African-American individuals (rs5491; p.K56M) is associated with heart failure (HF) hospitalization, but whether this risk is specific to heart failure with preserved ejection fraction (HFpEF) remains unclear.",negative,0.8983243703842163,
P41159,"METHODS AND RESULTS: To evaluate the efficacy and mechanism of nitrite in metabolic syndrome associated with PH-HFpEF, we developed a 2-hit PH-HFpEF model in rats with multiple features of metabolic syndrome attributable to double-leptin receptor defect (obese ZSF1) with the combined treatment of vascular endothelial growth factor receptor blocker SU5416.",no_association,0.9089211821556091,
P48357,"METHODS AND RESULTS: To evaluate the efficacy and mechanism of nitrite in metabolic syndrome associated with PH-HFpEF, we developed a 2-hit PH-HFpEF model in rats with multiple features of metabolic syndrome attributable to double-leptin receptor defect (obese ZSF1) with the combined treatment of vascular endothelial growth factor receptor blocker SU5416.",no_association,0.9089211821556091,
P08473,"Prior to diagnosis, the patient was treated for heart failure with preserved ejection fraction with diuretics, sodium-glucose cotransporter-2 inhibitors, and angiotensin receptor-neprilysin inhibitors.",no_association,0.920607328414917,
P05164,"Patients with HFpEF (N=30; mean ± SD age, 70±9 years; 11 female [37%]; body mass index, 34.0 kg/m CONCLUSION: Acute MPO inhibition with mitiperstat did not reduce exertional hemodynamic congestion in patients with HFpEF.",negative,0.923368513584137,
Q06520,The aim of the present study was to find a correlation of serum Suppression of tumorigenicity 2 (ST2) levels with severity of diastolic dysfunction on echocardiography and cardiac magnetic resonance imaging (CMRI) in heart failure with preserved ejection fraction (HFpEF) patients.,no_association,0.9247309565544128,
P17931,AIMS: Galectin-3 (Gal-3) predicts long-term outcome among patients with heart failure (HF) with preserved ejection fraction (HFpEF).,no_association,0.9285327196121216,
P02766,This study compared the economic impact of HFpEF in patients with and without ATTR-CA in Spain.,no_association,0.9297226071357727,
Q99988,The association between GDF15 and clinical factors and its prognostic value in elderly multimorbid patients with heart failure with preserved ejection fraction (HFpEF) have not been well unknown.,no_association,0.9299361705780029,
P07101,"However, the roles of lncRNAs in aging HFpEF associated with thyroid hormone (TH) dysfunction are unclear.",negative,0.9334555268287659,
O14964,"Clinical features and multivariate adjusted hazard ratios (HRs) of endpoints of short-term all-cause mortality (SAM), long-term all-cause mortality (LAM), long-term cardiovascular death (LCD) and long-term HF rehospitalization (LHR) among patients with HFmrEF and HF with preserved ejection fraction (HFpEF), HF with reduced ejection fraction (HFrEF) were well addressed.",no_association,0.939487636089325,
Q06520,"The objective was to evaluate the diagnosis of heart failure with preserved ejection fraction (HFpEF) using the biomarkers, growth differentiation factor-15 (GDF-15), galectin-3 (Gal-3), and soluble ST2 (sST2), and to determine whether they can differentiate HFpEF from heart failure with reduced ejection fraction (HFrEF).",no_association,0.9426290988922119,
P17931,"The objective was to evaluate the diagnosis of heart failure with preserved ejection fraction (HFpEF) using the biomarkers, growth differentiation factor-15 (GDF-15), galectin-3 (Gal-3), and soluble ST2 (sST2), and to determine whether they can differentiate HFpEF from heart failure with reduced ejection fraction (HFrEF).",no_association,0.9426290988922119,
P02766,"Although time in therapeutic range (TTR) demonstrates clinical utility across cardiovascular conditions, its prognostic significance for potassium in heart failure with preserved ejection fraction (HFpEF) remains poorly characterized.",no_association,0.9464673399925232,
P35318,"We examined atrial function in vivo and Ca transients (CaT) (Fluo4-AM, field stim) in atrial cardiomyocytes of ZSF-1 rats without (Ln; lean hypertensive) and with metabolic syndrome (Ob; obese, hypertensive, diabetic) and HFpEF.",no_association,0.9465891718864441,
P41159,"We examined atrial function in vivo and Ca transients (CaT) (Fluo4-AM, field stim) in atrial cardiomyocytes of ZSF-1 rats without (Ln; lean hypertensive) and with metabolic syndrome (Ob; obese, hypertensive, diabetic) and HFpEF.",no_association,0.9465891718864441,
Q06520,"This study assessed the value of early post-discharge circulating levels of ST2, NT-proBNP, CA125, and hs-TnI for predicting 30-day and 1-year outcomes in comorbid frail elderly patients with HF with mainly preserved ejection fraction (HFpEF).",no_association,0.9499878883361816,
